he works at the bank
Correct	Parser	Rerank	Rerank Unigram	Translation
✓	39.421356201171875	4.200665760573061	7.141624438391821	han arbetar vid banken	PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron he_Pron) (AdvVP (UseV work_1_V) (PrepNP at_Prep (DetCN (DetQuant DefArt NumSg) (UseN bank_2_N))))))) NoVoc
	39.98149871826172	9.39057773795564	7.208687478391441	han fungerar vid banken	PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron he_Pron) (AdvVP (UseV work_2_V) (PrepNP at_Prep (DetCN (DetQuant DefArt NumSg) (UseN bank_2_N))))))) NoVoc
	40.27632522583008	4.135440265194887	7.326662829887152	han arbetar vid banken	PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron he_Pron) (AdvVP (UseV work_1_V) (PrepNP at_Prep (DetCN (DetQuant DefArt NumSg) (UseN bank_1_N))))))) NoVoc
	40.83647155761719	11.34569239144675	7.393725869886774	han fungerar vid banken	PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron he_Pron) (AdvVP (UseV work_2_V) (PrepNP at_Prep (DetCN (DetQuant DefArt NumSg) (UseN bank_1_N))))))) NoVoc
	41.57111358642578	14.852959180003815	7.818235746001264	* han ordnar om vid banken	ChunkPhr (OneChunk (SSlash_Chunk (UseSlash (TTAnt TPres ASimul) PPos (SlashVP (UsePron he_Pron) (AdvVPSlash (SlashV2a work_V2) (PrepNP at_Prep (DetCN (DetQuant DefArt NumSg) (UseN bank_2_N))))))))
	42.426082611083984	14.78773368462564	8.003274137496595	* han ordnar om vid banken	ChunkPhr (OneChunk (SSlash_Chunk (UseSlash (TTAnt TPres ASimul) PPos (SlashVP (UsePron he_Pron) (AdvVPSlash (SlashV2a work_V2) (PrepNP at_Prep (DetCN (DetQuant DefArt NumSg) (UseN bank_1_N))))))))
	43.691444396972656	4.200665760573061	7.141624438391821	* han arbetar vid banken	ChunkPhr (OneChunk (S_Chunk (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron he_Pron) (AdvVP (UseV work_1_V) (PrepNP at_Prep (DetCN (DetQuant DefArt NumSg) (UseN bank_2_N))))))))
	44.2515869140625	9.39057773795564	7.208687478391441	* han fungerar vid banken	ChunkPhr (OneChunk (S_Chunk (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron he_Pron) (AdvVP (UseV work_2_V) (PrepNP at_Prep (DetCN (DetQuant DefArt NumSg) (UseN bank_2_N))))))))
	44.54641342163086	4.135440265194887	7.326662829887152	* han arbetar vid banken	ChunkPhr (OneChunk (S_Chunk (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron he_Pron) (AdvVP (UseV work_1_V) (PrepNP at_Prep (DetCN (DetQuant DefArt NumSg) (UseN bank_1_N))))))))
	44.68629837036133	42.374768145689075	8.778039063385338	* han ordnar om vid banken	ChunkPhr (OneChunk (SSlash_Chunk (UseSlash (TTAnt TPres ASimul) PPos (SlashVP (UsePron he_Pron) (AdvVPSlash (SlashV2a work_on_V2) (PrepNP at_Prep (DetCN (DetQuant DefArt NumSg) (UseN bank_2_N))))))))
