hästens man är brun
Correct	Parser	Rerank	Rerank Unigram	Translation
	39.3822135925293	4.796549668350639	8.905720672310373	man of the horse is brown
	43.15652847290039	6.201446883235999	10.019987714324904	man of the horse is tan
	43.65230178833008	4.796549668350639	8.905720672310373	* man of the horse is brown
	43.87405776977539	1.9959172836959276	10.129703968894741	man of the horseback is brown
	44.83353805541992	5.526123305463684	9.932233326645065	man of the horse is brown
	45.1131477355957	2.9901963023094122	9.370184814024684	* the horse's one is brown
	46.101783752441406	4.796549668350639	8.905720672310373	man of the horse is brown
	46.253108978271484	5.185091306414278	10.56012129232974	mane of the horse is brown
	46.94664764404297	4.796549668350639	8.905720672310373	* man of the horse is brown
	47.42661666870117	6.201446883235999	10.019987714324904	* man of the horse is tan
	47.648372650146484	4.805711713466648	11.243971010909272	man of the horseback is tan
	48.06875991821289	1.9959172836959276	10.915338540309898	man of the horsebox is brown
	48.14414596557617	1.9959172836959276	10.129703968894741	* man of the horseback is brown
	48.40748977661133	2.9901963023094122	9.370184814024684	* the horse's one is brown
	48.86840057373047	2.9901963023094122	8.905720672310373	* the horse's man is brown
	48.8874626159668	-0.10527387349220518	11.04158537704648	* the horse's one is tan
	49.1036262512207	5.526123305463684	9.932233326645065	* man of the horse is brown
	49.325382232666016	3.455064557922018	11.156216623229431	man of the horseback is brown
	49.6049919128418	5.766598954744351	11.206159758901237	* the horseback's one is brown
	49.711429595947266	4.525858219208058	8.905720672310373	* man of the horse is brown

han är på plan två
Correct	Parser	Rerank	Rerank Unigram	Translation
	36.889366149902344	2.200615296393608	6.155150234429745	he is on plan two
	37.4295768737793	3.316785733008104	6.306154832064777	he is on level two
	38.87127685546875	4.333388000559212	6.716610396600953	he is on field two
	40.822105407714844	2.200615296393608	6.155150234429745	* he is on plan two
	40.945919036865234	3.4712204350006	7.2042611512342205	he is upon plan two
	41.159454345703125	2.200615296393608	6.155150234429745	* he is on plan two
	41.3623161315918	3.316785733008104	6.306154832064777	* he is on level two
	41.48613357543945	5.028488754838276	7.355265748869251	he is upon level two
	41.69966506958008	3.316785733008104	6.306154832064777	* he is on level two
	41.707523345947266	3.316785733008104	6.306154832064777	* he is on levels two
	42.4257698059082	4.292624594384227	7.398650894668381	he is onto plan two
	42.659847259521484	3.737959013470878	7.496032179449642	he is on blueprint two
	42.804012298583984	4.333388000559212	6.716610396600953	* he is on field two
	42.92782974243164	5.742071712772443	7.765721313405426	he is upon field two
	42.96598434448242	10.940423279690924	7.549655492303413	he is onto level two
	43.14136505126953	4.333388000559212	6.716610396600953	* he is on field two
	43.60894012451172	2.200615296393608	6.155150234429745	he is on plan two
	44.116451263427734	2.200615296393608	6.155150234429745	* he is on plan two
	44.14915466308594	3.316785733008104	6.306154832064777	he is on level two
	44.40768051147461	6.0489493103271625	7.960111056839589	he is onto field two

han har en bra plan
Correct	Parser	Rerank	Rerank Unigram	Translation
	35.83893966674805	5.486556502938162	6.639570237889789	he has a good plan
	37.21235275268555	5.495966212730304	6.875100407208139	he has a better plan
	37.82085037231445	9.33654339569394	7.060665359518195	he has a good field
	39.19426345825195	9.075601191275886	7.296195528836543	he has a better field
	40.10902786254883	5.486556502938162	6.639570237889789	* he has a good plan
	40.813758850097656	5.486556502938162	6.639570237889789	he has one good plan
	41.22752380371094	6.5572211682342765	7.669451358522503	he has a well plan
	41.48244094848633	5.495966212730304	6.875100407208139	* he has a better plan
	41.609413146972656	22.78082513548722	7.645231696654712	he has a good blueprint
	42.090938568115234	9.33654339569394	7.060665359518195	* he has a good field
	42.187164306640625	5.495966212730304	6.875100407208139	he has one better plan
	42.55851745605469	5.486556502938162	6.639570237889789	he has a good plan
	42.79566192626953	9.33654339569394	7.060665359518195	he has one good field
	42.982826232910156	27.518539705469315	7.880761865973062	he has a better blueprint
	43.209434509277344	9.433300032233758	8.090546480150907	he has a well field
	43.40337371826172	5.486556502938162	6.639570237889789	* he has a good plan
	43.464351654052734	9.075601191275886	7.296195528836543	* he has a better field
	43.93193054199219	5.495966212730304	6.875100407208139	he has a better plan
	44.16907501220703	9.075601191275886	7.296195528836543	he has one better field
	44.540428161621094	9.33654339569394	7.060665359518195	he has a good field

jag äter maten i köket
Correct	Parser	Rerank	Rerank Unigram	Translation
	48.27190399169922	4.100502449561818	7.5008184173409465	I eat the food in the kitchen
	48.27190399169922	4.100502449561818	7.5008184173409465	I eat the food in the kitchen
	48.37662124633789	4.100502449561818	7.5008184173409465	I eat in the kitchen the food
	48.37662124633789	4.100502449561818	7.5008184173409465	I eat in the kitchen the food
	48.9795036315918	4.443631119621024	7.5008184173409465	I eat the food in the kitchen
	48.9795036315918	4.443631119621024	7.5008184173409465	I eat the food in the kitchen
	49.62456130981445	4.806495484658699	7.674396257232445	I eat the food in the cuisine
	49.62456130981445	4.806495484658699	7.674396257232445	I eat the food in the cuisine
	49.72928237915039	4.806495484658699	7.674396257232445	I eat in the cuisine the food
	49.72928237915039	4.806495484658699	7.674396257232445	I eat in the cuisine the food
	50.33216094970703	4.700376365179331	7.674396257232445	I eat the food in the cuisine
	50.33216094970703	4.700376365179331	7.674396257232445	I eat the food in the cuisine
	52.5419921875	4.100502449561818	7.5008184173409465	* I eat the food in the kitchen
	52.5419921875	4.100502449561818	7.5008184173409465	* I eat the food in the kitchen
	52.64670944213867	4.100502449561818	7.5008184173409465	* I eat in the kitchen the food
	52.64670944213867	4.100502449561818	7.5008184173409465	* I eat in the kitchen the food
	53.24959182739258	4.443631119621024	7.5008184173409465	* I eat the food in the kitchen
	53.24959182739258	4.443631119621024	7.5008184173409465	* I eat the food in the kitchen
	53.894649505615234	4.806495484658699	7.674396257232445	* I eat the food in the cuisine
	53.894649505615234	4.806495484658699	7.674396257232445	* I eat the food in the cuisine

jag har ett mål
Correct	Parser	Rerank	Rerank Unigram	Translation
	29.488779067993164	6.283651543845733	7.356016707505372	I have a purpose
	29.488779067993164	6.283651543845733	7.356016707505372	I have a purpose
	29.64478874206543	10.777380765150397	7.5578679416932815	I have a goal
	29.64478874206543	10.777380765150397	7.5578679416932815	I have a goal
	29.706777572631836	6.186832385681758	7.5611798202421845	I have a goal
	29.706777572631836	6.186832385681758	7.5611798202421845	I have a goal
	29.74335289001465	6.316534839896353	7.501498895037763	I have an objective
	29.74335289001465	6.316534839896353	7.501498895037763	I have an objective
	29.855398178100586	6.506795000555336	7.458380049478524	I have a target
	29.855398178100586	6.506795000555336	7.458380049478524	I have a target
	33.75886535644531	6.283651543845733	7.356016707505372	* I have a purpose
	33.75886535644531	6.283651543845733	7.356016707505372	* I have a purpose
	33.91487503051758	10.777380765150397	7.5578679416932815	* I have a goal
	33.91487503051758	10.777380765150397	7.5578679416932815	* I have a goal
	33.976863861083984	6.186832385681758	7.5611798202421845	* I have a goal
	33.976863861083984	6.186832385681758	7.5611798202421845	* I have a goal
	34.0134391784668	6.316534839896353	7.501498895037763	* I have an objective
	34.0134391784668	6.316534839896353	7.501498895037763	* I have an objective
	34.125484466552734	6.506795000555336	7.458380049478524	* I have a target
	34.125484466552734	6.506795000555336	7.458380049478524	* I have a target

han gjorde mål i sista minuten
Correct	Parser	Rerank	Rerank Unigram	Translation
	59.516578674316406	5.833229737707737	7.197665942660845	* he scored in final the minute
	59.516578674316406	5.833229737707737	7.197665942660845	* he scored in final the minute
	62.139793395996094	5.92283111124046	7.197665942660846	* he scored in final the minute
	63.64386749267578	6.5861964456978965	7.197665942660846	* he scored in final of the minute
	64.77742004394531	5.833229737707737	7.197665942660846	* he scored in final the minute
	64.77742004394531	5.833229737707737	7.197665942660846	* he scored in final the minute
	65.34275817871094	5.619922844642256	8.217272126422907	* he scored in latter the minute
	65.34275817871094	5.619922844642256	8.217272126422907	* he scored in latter the minute
	65.75586700439453	7.65934926551343	7.0049841952363785	he made purpose in final the minute
	65.86058044433594	7.65934926551343	7.0049841952363785	he made in final the minute purpose
	66.10108184814453	7.65934926551343	7.0049841952363785	he made purposes in final the minute
	66.2057876586914	7.65934926551343	7.0049841952363785	he made in final the minute purposes
	66.25708770751953	7.770969350966836	7.105909812330332	he made goals in final the minute
	66.31907653808594	7.770969350966836	7.107565751604785	he made goals in final the minute
	66.35565185546875	6.543150817409164	7.077725289002573	he made objectives in final the minute
	66.3617935180664	7.770969350966836	7.105909812330332	he made in final the minute goals
	66.42378997802734	7.770969350966836	7.107565751604784	he made in final the minute goals
	66.46036529541016	6.543150817409164	7.077725289002573	he made in final the minute objectives
	66.46346282958984	14.860596350992623	7.0049841952363785	he made purpose in final the minute
	66.46769714355469	6.956181174455153	7.056165866222954	he made targets in final the minute

jag har en kontakt i regeringen
Correct	Parser	Rerank	Rerank Unigram	Translation
	45.14118576049805	6.705842249930242	6.772324237040334	I have a contact in the government
	45.14118576049805	6.705842249930242	6.772324237040334	I have a contact in the government
	45.24590301513672	6.705842249930242	6.772324237040334	I have in the government a contact
	45.24590301513672	6.705842249930242	6.772324237040334	I have in the government a contact
	45.84878921508789	5.808182215643313	6.772324237040334	I have a contact in the government
	45.84878921508789	5.808182215643313	6.772324237040334	I have a contact in the government
	47.74361801147461	6.299856948277271	7.187661748780586	I have an outlet in the government
	47.74361801147461	6.299856948277271	7.187661748780586	I have an outlet in the government
	47.84833526611328	6.299856948277271	7.187661748780586	I have in the government an outlet
	47.84833526611328	6.299856948277271	7.187661748780586	I have in the government an outlet
	48.005271911621094	6.516221675130313	7.144914305520352	I have a contact in the reign
	48.005271911621094	6.516221675130313	7.144914305520352	I have a contact in the reign
	48.109989166259766	6.516221675130315	7.144914305520352	I have in the reign a contact
	48.109989166259766	6.516221675130315	7.144914305520352	I have in the reign a contact
	48.18092727661133	6.2511104414130765	7.202586016580587	I have a contact in the cabinet
	48.18092727661133	6.2511104414130765	7.202586016580587	I have a contact in the cabinet
	48.285648345947266	6.251110441413077	7.202586016580587	I have in the cabinet a contact
	48.285648345947266	6.251110441413077	7.202586016580587	I have in the cabinet a contact
	48.45122146606445	5.273847885431977	7.187661748780586	I have an outlet in the government
